airport,rate,error_min,error_max,train_min,train_max,start_date
ATL,DEP_RATE,0,145,80,135,11/1/14
ATL,ARR_RATE,0,145,80,135,11/1/14
BOS,DEP_RATE,0,65,26,55,1/1/14
BOS,ARR_RATE,0,75,20,65,1/1/14
DFW,DEP_RATE,0,110,60,100,1/1/14
DFW,ARR_RATE,0,125,40,114,1/1/14
EWR,DEP_RATE,0,60,15,50,1/1/14
EWR,ARR_RATE,0,60,20,50,1/1/14
JFK,DEP_RATE,0,65,20,52,1/1/14
JFK,ARR_RATE,0,75,25,65,1/1/14
LAX,DEP_RATE,0,85,0,75,1/1/14
LAX,ARR_RATE,0,85,0,75,1/1/14
LGA,DEP_RATE,0,50,0,40,1/1/14
LGA,ARR_RATE,0,50,0,40,1/1/14
ORD,DEP_RATE,0,125,40,115,1/1/14
ORD,ARR_RATE,0,125,35,114,1/1/14
PHL,DEP_RATE,0,70,15,60,1/1/14
PHL,ARR_RATE,0,70,15,60,1/1/14
SFO,DEP_RATE,0,60,25,50,1/1/14
SFO,ARR_RATE,0,65,25,54,1/1/14
SEA,DEP_RATE,0,60,20,50,1/1/14
SEA,ARR_RATE,0,48,20,48,1/1/14
PDX,ARR_RATE,0,60,20,60,1/1/14
PDX,DEP_RATE,0,60,20,60,1/1/14
