locid,rate,value,freq,total,pct,keep
ATL,arr_rate,16,1,32856,0.003043584,0
ATL,arr_rate,30,1,32856,0.003043584,0
ATL,arr_rate,38,3,32856,0.009130752,0
ATL,arr_rate,40,5,32856,0.015217921,0
ATL,arr_rate,50,2,32856,0.006087168,0
ATL,arr_rate,55,2,32856,0.006087168,0
ATL,arr_rate,56,1,32856,0.003043584,0
ATL,arr_rate,60,4,32856,0.012174336,0
ATL,arr_rate,65,3,32856,0.009130752,0
ATL,arr_rate,66,3,32856,0.009130752,0
ATL,arr_rate,68,1,32856,0.003043584,0
ATL,arr_rate,70,1,32856,0.003043584,0
ATL,arr_rate,71,2,32856,0.006087168,0
ATL,arr_rate,72,22,32856,0.066958851,0
ATL,arr_rate,73,1,32856,0.003043584,0
ATL,arr_rate,74,2,32856,0.006087168,0
ATL,arr_rate,75,2,32856,0.006087168,0
ATL,arr_rate,76,46,32856,0.14000487,0
ATL,arr_rate,77,1,32856,0.003043584,0
ATL,arr_rate,78,2,32856,0.006087168,0
ATL,arr_rate,79,4,32856,0.012174336,0
ATL,arr_rate,80,211,32856,0.64219625,0
ATL,arr_rate,81,2,32856,0.006087168,0
ATL,arr_rate,82,1,32856,0.003043584,0
ATL,arr_rate,83,15,32856,0.045653762,0
ATL,arr_rate,84,39,32856,0.118699781,0
ATL,arr_rate,85,10,32856,0.030435841,0
ATL,arr_rate,86,31,32856,0.094351108,0
ATL,arr_rate,87,4,32856,0.012174336,0
ATL,arr_rate,88,40,32856,0.121743365,0
ATL,arr_rate,89,5,32856,0.015217921,0
ATL,arr_rate,90,122,32856,0.371317263,0
ATL,arr_rate,91,11,32856,0.033479425,0
ATL,arr_rate,92,124,32856,0.377404431,0
ATL,arr_rate,93,11,32856,0.033479425,0
ATL,arr_rate,94,15,32856,0.045653762,0
ATL,arr_rate,95,40,32856,0.121743365,0
ATL,arr_rate,96,398,32856,1.211346482,0
ATL,arr_rate,97,21,32856,0.063915267,0
ATL,arr_rate,98,380,32856,1.156561967,0
ATL,arr_rate,99,10,32856,0.030435841,0
